media_type,post_url,likes,caption
video,https://www.instagram.com/p/DOLmzk7EQ5G/,1038948,the world of rhode is now available @sephora 🤍
image,https://www.instagram.com/p/DOLmT8TjeO5/?img_index=1,335924,the world of rhode is now at Sephora 🤍 our collection of curated skincare and hybrid makeup essentials has arrived online and in-store at all Sephora US + Sephora Canada locations. we can’t wait to meet you all 💫
image,https://www.instagram.com/p/DOJXh8uESN-/?img_index=1,224510,"the making of: sephora 🤍  we’ve been hard at work getting ready to bring the world of rhode to sephora, and we’re so excited for you to see what we’ve been building. come find us tomorrow at @sephora and @sephoracanada ✨"
image,https://www.instagram.com/p/DOGyRjRkSnr/?img_index=1,121648,"first hints of fall 🧸🍞☕️ we’re transitioning into the season with cozy touches of color like warm neutrals, rich berries, and rosy taupes."
video,https://www.instagram.com/p/DOEMWSgETYC/,26907,rhode summer wrap up 💛
video,https://www.instagram.com/p/DOBnsuZkTJK/,18623,get ready with @kensnation + rhode 🫶 product breakdown for her pinky mauve summer look:  🥛 glazing milk for hydrating skin prep 👙 pocket blush in tan line + sprinkle 🪄 peptide lip shape in twist + lean ✨ peptide lip tint in salty tan
image,https://www.instagram.com/p/DN_C22kEY_g/,108664,jelly bean dreams 🎀
image,https://www.instagram.com/p/DN8eIFbEa7a/?img_index=1,30858,sweet little combos 💫 our new duos combine paired shades of pocket blush and our most-loved peptide lip tints for a monochromatic lip and cheek look.  🎀 sprinkle + jelly bean: a shimmery pink pair 👙 tan line + salty tan: a pinky mauve pair  grab yours at rhodeskin.com ✨
image,https://www.instagram.com/p/DN55TNyESEj/?img_index=1,52490,"lip care is skincare 💌  at rhode, we believe taking care of your lips is an essential part of your skincare routine. our peptide lip treatments and tints feature efficacious ingredients like peptide, shea butter, and vitamin e for hydrating and nourishing benefits in every swipe.  now you can experience our strawberry glaze, jelly bean, and salty tan in the upgraded lip treat and tint formula. same replenishing skincare benefits as the original, improved to maintain a consistently even texture over time. swipe for a look at the results from our new peptide lip treatment consumer study.  find your favorites at rhodeskin.com 🍓🎀👙"
image,https://www.instagram.com/p/DN3Uh3Y4qpL/,86823,"oldies but goodies 🍓🎀👙  so worth the wait. strawberry glaze, jelly bean, and salty tan have returned as part of our forever peptide lip treatment and tint collection. pick them up solo or bundle together in a set of all three on rhodeskin.com ✨  p.s. see you at @sephora @sephoracanada on september 4th 👀"
image,https://www.instagram.com/p/DN01zNp0ud8/?img_index=1,37085,summer’s favorite shade 👙  last summer we launched salty tan as a limited edition peptide lip tint for the season. it’s the soft mauve shade you’ve been asking us to bring back most—and now it’s here stay. an endlessly versatile touch of color that adapts from day to night and season to season.  stock up on salty tan on august 27th at 9am PT. join the waitlist at rhodeskin.com ☀️
image,https://www.instagram.com/p/DN0x9um4lwz/?img_index=1,51387,"jelly bean baby 🎀  your favorite lip gloss from middle school, all grown up. get to know jelly bean, the limited edition peptide lip tint we made for hailey’s 27th bday.  🪩 looks like: a shimmery, sheer baby pink 🍬 smells like: a sweet pink jelly bean ✨ feels like: a rich, velvety gloss that melts onto lips  jelly bean is joining the rhode lineup forever on august 27th at 9am PT. grab it solo or in a set with strawberry glaze and salty tan."
image,https://www.instagram.com/p/DN0vexQYvAg/?img_index=1,51938,"strawberry glaze forever 💌  originally launched in 2023, strawberry glaze was one of your favorite limited edition peptide lip treatments that smells like a fresh strawberry glazed donut. it’s our signature nourishing formula made with peptide, shea butter, and vitamin e to help immediately lock in moisture and leave lips feeling pillowy-soft for your glossiest, most delicious lips 🍓  get first pick of strawberry glaze in our core grey lip treat packaging on august 27th at 9am PT. join the waitlist on rhodeskin.com ✨"
video,https://www.instagram.com/p/DNyLGdD4ofH/,50399,"old favorites, here forever 💌  your peptide lip wishes came true. we’re bringing back your most-requested lip treats and tints from over the years. once limited edition and now here to stay, your three favorites are joining the rhode lineup forever:  🍓 strawberry glaze 🎀 jelly bean 👙 salty tan  arriving in our improved formula with the same nourishing skincare benefits and a lasting, smooth texture. get them first on august 27th at 9am PT on rhodeskin.com. launching in-store + online at @sephora @sephoracanada on september 4th ✨"
video,https://www.instagram.com/p/DNvlV6H4vL2/,79191,"wishing, waiting, tinting 👀💌"
image,https://www.instagram.com/p/DNtBFUI4k0Y/?img_index=1,32836,constant contour 🧸🪩 bring your peptide lip shape everywhere to softly contour your lips on the go.
image,https://www.instagram.com/p/DNqfIvPR8Vm/?img_index=1,29437,"end of summer staples 🤍 why we love glazing mist and glazing milk for the final stretch of warmer days:  🧴 barrier-nourishing: both formulas feature our go-to ceramide trio that helps reinforce the skin barrier, prepping skin for cooler weather ahead.  ✨ lasting glow: each one leaves a dewy, radiant finish so you can keep your summer glow going.  🪽 hydration anytime: they provide all-day hydration, whether it’s milk as a prep step in your skincare routine or mist throughout the day for a hydrating refresh."
video,https://www.instagram.com/p/DNn3rq1xvJV/,20663,tan line looks 👙 your favorite ways to wear our pinky tan shade of pocket blush this summer.
image,https://www.instagram.com/p/DNlSzrgx64K/?img_index=1,18229,"The Support for Moms Fund x The Tender Foundation 🤍  This spring, rhode futures foundation launched the Support for Moms Fund, a $1 million grant that invests in 10 organizations delivering guaranteed income and resources to new mothers, mother-like figures, and caregivers across the U.S. By investing in organizations that provide guaranteed income to moms, we aim to foster equity and help reduce the burden of unpaid care.  In the coming months, we’ll be spotlighting each organization, sharing how they’re helping moms unlock the freedom to manage their finances, cover essentials, pay for childcare, and invest in their futures. First up is The Tender Foundation, an organization that weaves a safety net for single moms living on the margins in Atlanta through their guaranteed income program.  Swipe to learn more about their work and meet one of the moms they support."
image,https://www.instagram.com/p/DNiuO47xDD-/?img_index=1,54243,golden hour with rhode 🍊✨
image,https://www.instagram.com/p/DNgLTm0xBdF/,74047,spoonful of rhode 🥄
image,https://www.instagram.com/p/DNdk5tgRfwm/?img_index=1,42207,rhode refresh 🪽a summer day seaside with @vikyrader + glazing mist.
video,https://www.instagram.com/p/DNa_30KxR4Z/?img_index=1,24707,"summer edit your way 🍋 create your go-to rhode combo with our limited edition set.  ☀️ pocket blush in your choice of tan line or sun soak to bring sunny warmth to your cheeks.  🪄 peptide lip shape in a shade of your choice to softly contour and enhance your lips.  🍸 peptide lip tint in lemontini, a shimmery, sheer gold gloss that hydrates and replenishes.  curate your own summer edit. only on rhodeskin.com ✨"
video,https://www.instagram.com/p/DNYGjpcRhbN/,95757,save the date 🤍 rhode officially launches at @sephora online and across all US + @sephoracanada stores on september 4th ✨
image,https://www.instagram.com/p/DNV2MyvRDxB/?img_index=1,229087,"peptide anytime 🩰🍷☕️✨  our peptide lip treatments and tints fit effortlessly into your routine. packed with ingredients like peptide, shea butter, and vitamin e, our nourishing formula hydrates for pillowy-soft, glazed lips. reach for your faves for a clear, high-shine finish or glossy touch of color.  p.s. starting today, all lip treats + tints have been upgraded to our improved formula. it’s the same nourishing gloss you know and love, now with a lasting smooth texture."
image,https://www.instagram.com/p/DNTZtweJrGO/?img_index=1,41155,"shape, smudge, smooth 🎀  peptide lip shape makes it easy to softly contour and add dimension to your lips while helping them feel smoother over time. swipe to see why we love it for an effortless, everyday look."
image,https://www.instagram.com/p/DNQsjjLxEiU/?img_index=1,61505,lemontini night out with @juliananalu 🍸🍋
image,https://www.instagram.com/p/DNOH1Okx0Hr/?img_index=1,20787,"the summer edit ☀️  create your go-to blush and lip combo with our limited edition summer edit. pair pocket blush in tan line or sun soak with peptide lip tint in lemontini and a peptide lip shape of your choice. they’re three hybrid formulas made with skincare ingredients like peptide, tamanu oil, and shea butter for added hydration and nourishing benefits.  here just for the season. only at rhodeskin.com ✨"
image,https://www.instagram.com/p/DNLjOLrRWTR/?img_index=1,73675,"made to mix 🥛 three of our favorite ways to use glazing milk in our makeup routines.  ✨ combine with liquid highlighter and apply to your face, neck, and décolleté for all-over radiance  ✨ mix a couple of drops with foundation for a smooth, seamless makeup base  ✨ blend with your go-to cream bronzer for a sun-kissed summer glow"
video,https://www.instagram.com/p/DNI-aMeR3zV/?img_index=1,30320,"sunset in your pocket 🍊👙  warm up your cheeks with this pocket blush technique. apply two to three shades to the high points of your cheeks, and blend with your fingers or a brush for a diffused, gradient effect."
video,https://www.instagram.com/p/DNGZjd0x9oF/,226214,morning routine with HB 🎀 @voguemagazine  rhode product breakdown: 🪽glazing mist for hydration and glow 🥛glazing milk as makeup prep 👙pocket blush in tan line on the cheeks 🪄peptide lip shape in twist to softly contour
image,https://www.instagram.com/p/DND0pCKJKxl/?img_index=1,24393,"the glow set ✨  meet our go-to trio for nourishing hydration and glow anywhere in your routine. use them as your morning and evening skincare steps, wear them under makeup for skin prep, and take them with you on the go 🥛🪽🧈"
image,https://www.instagram.com/p/DNBS-hTRPmY/?img_index=1,212387,"a day with sephora 🤍 peek into hailey’s day at the sephora store manager conference in las vegas. we can’t wait for rhode to arrive at @sephora US + @sephoracanada in september!  p.s. our lip treats + tints in jelly bean, strawberry glaze, and salty tan are coming back 👀✨"
image,https://www.instagram.com/p/DM-ptDIpO6X/?img_index=1,156594,rhode at work 👀🍓🫶
video,https://www.instagram.com/p/DM8HQr3xRPS/,18038,sunset on rhode summer club ☀️ it’s our last week at beach club gran folies. bringing the world of rhode to mallorca has been the highlight of summer 🫶
image,https://www.instagram.com/p/DM5hZIExLKV/?img_index=1,26572,"mist, blend, glow 🪽  our go-to for a natural, sculpted glow. apply concealer, contour, or bronzer, then spritz on glazing mist before blending everything out. its superfine, hydrating texture allows for effortless blending without harsh lines and leaves skin looking glazed and glowy hours after application."
image,https://www.instagram.com/p/DM28oh-xCmw/?img_index=1,14487,"after sun care ☀️ sun-drenched days can leave your skin barrier feeling irritated and dehydrated. here are the essentials we’re reaching for to refresh, soothe, and hydrate skin after long days in the sun.  grab them solo or bundle in the glow set with glazing mist, mini glazing milk, and mini barrier butter. only at rhodeskin.com ✨"
image,https://www.instagram.com/p/DM0YQ_BRuph/?img_index=1,55192,lemontini love 🍋🍸
image,https://www.instagram.com/p/DMxzN7SxjTM/?img_index=1,121331,summer so far with HB 🪽
image,https://www.instagram.com/p/DMvOyg0RZJu/?img_index=1,80112,rhode postcard: greetings from the south of france with @carla_ginola 💛  destination: saint-tropez temp: 30°C/86°F fave view: mediterranean sea best bites: lemon gelato rhode essentials: 👙🍋 the aroma: salty air + spf on skin: glazing mist on lips: peptide lip tint in lemontini
image,https://www.instagram.com/p/DMspr5_RKYm/?img_index=1,41986,"misty summer refresh 🤍  have a bottle of glazing mist on hand wherever you are this summer. its superfine texture instantly refreshes skin with ectoin and ceramides, leaving it looking supple, hydrated, and glowy. keep it in your bathroom, chill it in the fridge, or bring it to the beach for a skin-nourishing spritz."
image,https://www.instagram.com/p/DMqFZE5RFgq/?img_index=1,66228,"peptide lip shape 5 ways with @vanessanicolestern 🪄 all the ways she’s wearing it this summer with shades stretch, lean, and twist.  ✨ wear on its own for a natural, soft contour ✨ fill in your lips entirely for monochromatic color ✨ pair with pocket blush in tan line for a satiny lip ✨ top with lemontini for a shimmery, sheer gold finish ✨ layer with a precision lip liner for a defined look"
video,https://www.instagram.com/p/DMnfvIZxRNo/,14451,"glowy reviews 🤍 why glazing mist has quickly become your go-to this summer:  🌟 leaves a glazed, radiant finish that lasts for hours, even after it dries down  🪽 superfine texture mists evenly onto skin for a lightweight, refreshing feel  🚿 clinically proven to provide all-day hydration + help prevent moisture loss throughout the day  ✨ works in your skincare and makeup routines, and is easy to take on the go"
image,https://www.instagram.com/p/DMk6_eHMNR2/?img_index=1,67544,"eleven little flushes 🎀  get to know the core pocket blush shades, now featuring tan line and sun soak. our on-the-go cream blush adds a buildable flush of color to your cheeks. made with peptides and tamanu oil, it hydrates skin and leaves a glowy finish without a greasy feel.  just for the season, grab tan line and sun soak in their limited edition summer packaging. only on rhodeskin.com ✨"
image,https://www.instagram.com/p/DMiWc-zxrLe/?img_index=1,26150,"sculpt, mist, blend 🪽  meet the go-to glazing mist trick in our makeup routines. apply concealer, contour, or bronzer, then spritz on glazing mist before blending everything out. our hydrating formula helps to effortlessly blend and leaves a glowy, radiant finish that lasts for hours.  finish off the look with your favorite shades of pocket blush, peptide lip shape, and peptide lip tint ✨"
video,https://www.instagram.com/p/DMfyhkGRMXT/?img_index=1,55836,"summer kit unpacked 💛 our limited edition kit bundles all your seasonal essentials in a baby rhode bubble bag. glazing mist for glowy hydration, lemontini for shimmery lips, and pocket blush in your choice of tan line or sun soak."
image,https://www.instagram.com/p/DMdNLipRpFz/?img_index=1,61129,"how is your skin feeling? 🐚  long days in the sea, sand, and sun can disrupt your skin barrier and cause sensitivity. check in with your skin to see what it needs and find your favorites to hydrate, soothe, and smooth your skin for the rest of the summer."
image,https://www.instagram.com/p/DMauRvuJ7h0/?img_index=1,42975,rhode summer club snapshots 💛 it’s been such a treat bringing the world of rhode to mallorca. we’re excited to share that we’re extending our time at @beachclub_granfolies a little bit longer. we’ll be here through august 6th 🍸🍋✨
image,https://www.instagram.com/p/DMYDteDxJCZ/?img_index=1,73410,fresh beach flush 👙  pocket blush in tan line gives your cheeks a pinky tan flush of color that looks like you just spent a day in the sun. throw it in your beach bag and tap it on with your fingers for an effortless summer look. don’t forget to wear it with SPF 🧴  grab it solo or bundle in our limited edition summer edit with lemontini and a peptide lip shape of your choice. only at rhodeskin.com ✨
video,https://www.instagram.com/p/DMVeR9xxUit/,47794,"sun soak summer 🍊 why we’re loving our new pocket blush shade:  ✨ sun-flushed color: it warms up your skin with a spiced orange flush. tap it onto the high points of your cheeks, around your hairline, on the bridge of your nose, and your lips.  ✨ hybrid formula: made with peptides and tamanu oil, it hydrates skin for baby-soft cheeks and leaves a glowy finish without a greasy feel.  ✨ summer packaging: sun soak is a core pocket blush shade, but just for the summer, it comes in limited edition packaging with a lemon yellow rhode logo."
image,https://www.instagram.com/p/DMS5enyxLxy/?img_index=1,91416,soaking up rhode summer club 🍋
image,https://www.instagram.com/p/DMQVCJ8RnQk/?img_index=1,152519,summer on speed dial 💛📱 @kensnation
image,https://www.instagram.com/p/DMNwGF5MWZc/,39129,a little tan line 👙
image,https://www.instagram.com/p/DMLLOjMRJW_/?img_index=1,102796,lemontinis all around 🍸🍋✨
video,https://www.instagram.com/p/DMInEMWxo-4/,366964,HB’s go-to summer look 💛  rhode product breakdown: 🪽 glazing mist to prep skin + blend out makeup ☀️ pocket blush in tan line on the cheeks + nose 🪄 peptide lip shape in twist to softly contour 🍋 peptide lip tint in lemontini for golden shimmer  get our new shades solo or bundled in our limited edition summer kit + summer edit. only at rhodeskin.com ✨
image,https://www.instagram.com/p/DMGBoRUOMsX/?img_index=1,116354,"our rhode summer collection has landed 💛  🍸 peptide lip tint in lemontini ☀️ pocket blush in tan line + sun soak 🍋 summer kit 📱 summer lip case  we’re so excited to bring our new essentials and the full rhode lineup to even more of you. starting today, rhode is officially available in austria, denmark, finland, greece, the netherlands, poland, and sweden.  p.s. every order placed will receive a sheet of rhode temporary tattoos on us, while supplies last ✨"
image,https://www.instagram.com/p/DMDbI-jxauB/,103274,"lemon drop 💛   our rhode summer collection arrives tomorrow, including lemontini, two new pocket blushes, and the summer kit + lip case. see you july 14th at 9am PT, only at rhodeskin.com  ✨"
image,https://www.instagram.com/p/DMA71eBs8jt/?img_index=1,25890,rhode summer combos🍸🍊
image,https://www.instagram.com/p/DMA47nIM7Vu/?img_index=1,93124,"summer warm-up 🍊  sun soak is our new spiced orange shade of pocket blush that brings summery warmth to your cheeks. tap it onto the high points of your cheeks, around your hairline, and on the bridge of your nose for a sun-flushed look without the sunburn. perfect for long beach days and golden hour evenings.  our summer collection arrives on july 14th at 9am PT. join the waitlist at rhodeskin.com 💛"
image,https://www.instagram.com/p/DL-b0kLJPMG/?img_index=1,286175,a week in mallorca with HB 💛🍋🌊
image,https://www.instagram.com/p/DL-PlkXRSTX/?img_index=1,78258,rhode in the sun ☀️
video,https://www.instagram.com/p/DL7vqPgxkJU/?img_index=1,61533,inside rhode summer club 💛
video,https://www.instagram.com/p/DL5Nd5RtqIg/?img_index=1,87296,a day in mallorca🍸🍋 celebrating the opening of rhode summer club at beach club gran folies.
image,https://www.instagram.com/p/DL4zphMNEPk/,185004,"welcome to rhode summer club 💛  we’re kicking off rhode summer with our first ever beach club at gran folies in mallorca, spain to celebrate the launch of our new lemontini peptide lip tint and summer blushes. we’ll be here through july 23rd 🍸🍋✨"
video,https://www.instagram.com/p/DL20_69O7tF/,48711,rhode summer is just getting started 💛
image,https://www.instagram.com/p/DL0CFNuM6CS/?img_index=1,134010,tini touch-ups 🍸🍋 on vacation with @emmasevilles + the summer kit.
image,https://www.instagram.com/p/DL0ADD-s4Uo/?img_index=1,185224,"the world of rhode is growing 🤍  we’re so happy to announce that our full collection will be available in seven more countries very soon. starting on july 14th at 9am PT, we’ll be shipping to austria, denmark, finland, greece, the netherlands, poland, and sweden.  we can’t wait to bring our efficacious, intentional skincare and beauty essentials to even more of you. see you soon on rhodeskin.com ✨"
image,https://www.instagram.com/p/DLxk7pfJVRw/?img_index=1,308717,"text, tint, tini 🍸 🍋"
image,https://www.instagram.com/p/DLxbYI1RN6N/,211152,"a tini bit more🍸  just for rhode summer, we made a limited edition shade of our bubble phone case to match peptide lip tint in lemontini. arriving in all existing lip case sizes on july 14th at 9am PT.  join the waitlist at rhodeskin.com 🍋"
image,https://www.instagram.com/p/DLu2bC7sDun/?img_index=1,88002,sun soaked + sandy 🐚
image,https://www.instagram.com/p/DLsRkvIsqHI/?img_index=1,112615,lemontini by the sea 🍸🍋
